W,L,run_id,goodput,retransmissions,avg_rtt,utilization,buffer_events
2,4096,1,696870854.6333739,0,4.702162499999997e-05,69.6870854633374,0
2,4096,2,2926857589.4601684,0,1.1195625000000002e-05,292.68575894601685,0
2,4096,3,1041022341.887266,0,3.147675e-05,104.10223418872661,0
2,4096,4,503630100.5362064,0,6.506362499999994e-05,50.36301005362064,0
2,4096,5,1878522085.5906208,0,1.7443500000000003e-05,187.8522085590621,0
2,4096,6,7919279801.824663,0,4.13775e-06,791.9279801824664,0
2,4096,7,767897263.7449874,0,4.267237499999999e-05,76.78972637449876,0
2,4096,8,2090612563.90012,0,1.5673875000000004e-05,209.061256390012,0
2,4096,9,810422115.4619033,0,4.0433249999999994e-05,81.04221154619034,0
4,128,0,2677944631.7294917,0,3.823828125000001e-07,267.7944631729492,0
4,128,1,106272727.6412711,0,9.635585937500005e-06,10.627272764127111,0
4,128,2,111633151.82328379,0,9.172902343750006e-06,11.163315182328379,0
4,128,3,88020479.37422958,0,1.1633656249999977e-05,8.802047937422959,0
4,128,4,161739409.42015567,0,6.331171875000002e-06,16.17394094201557,0
4,128,5,3242390134.6955433,0,3.1581640625000004e-07,324.2390134695543,0
4,128,6,8701586669.322178,0,1.1767968750000002e-07,870.1586669322179,0
4,128,7,860679366.2050439,0,1.1897578125000007e-06,86.0679366205044,0
4,128,8,299163714.7135085,0,3.422874999999999e-06,29.91637147135085,0
4,128,9,336770271.5549471,0,3.040648437499998e-06,33.67702715549471,0
4,256,0,2670089021.9804835,0,7.670156250000003e-07,267.00890219804836,0
4,256,1,106071825.39971514,0,1.9307671875000087e-05,10.607182539971516,0
4,256,2,3084736588.1785336,0,6.639140625000001e-07,308.4736588178534,0
4,256,3,1288582158.516683,0,1.5893437500000003e-06,128.85821585166832,0
4,256,4,161423887.95700294,0,1.2687093750000048e-05,16.142388795700295,0
4,256,5,3235986124.9984565,0,6.328828125000001e-07,323.5986124998457,0
4,256,6,8673946131.956852,0,2.36109375e-07,867.3946131956853,0
4,256,7,859054772.3444555,0,2.384015625e-06,85.90547723444556,0
4,256,8,298564035.279539,0,6.859500000000007e-06,29.856403527953905,0
4,256,9,336120834.45525753,0,6.093046875000002e-06,33.612083445525755,0
4,512,0,2654515260.1413608,0,1.5430312500000004e-06,265.4515260141361,0
4,512,1,129426280.13494416,0,3.164735937499999e-05,12.942628013494415,0
4,512,2,3066262734.960757,0,1.3358281250000003e-06,306.62627349607567,0
4,512,3,1283735871.971166,0,3.1906875e-06,128.37358719711662,0
4,512,4,1025349776.8546873,0,3.994734375000001e-06,102.53497768546875,0
4,512,5,3223253697.942923,0,1.2707656250000001e-06,322.3253697942923,0
4,512,6,8619188531.597292,0,4.7521874999999996e-07,861.9188531597292,0
4,512,7,855823914.6474439,0,4.786031250000001e-06,85.5823914647444,0
4,512,8,297371860.0261365,0,1.3773999999999985e-05,29.737186002613655,0
4,512,9,334829445.7401674,0,1.2233093749999984e-05,33.482944574016734,0
4,1024,0,2623906472.083758,0,3.1220625000000013e-06,262.3906472083758,0
4,1024,1,149900216.7212755,0,5.4649687500000124e-05,14.990021672127552,0
4,1024,2,5044820352.9434395,0,1.6238437500000003e-06,504.48203529434403,0
4,1024,3,1274151842.1308444,0,6.4293750000000014e-06,127.41518421308446,0
4,1024,4,1016191993.5495622,0,8.061468750000004e-06,101.61919935495622,0
4,1024,5,3198087081.701618,0,2.5615312500000004e-06,319.8087081701618,0
4,1024,6,8511721540.359763,0,9.624375e-07,851.1721540359764,0
4,1024,7,1521951672.6466246,0,5.3825625000000015e-06,152.19516726466247,0
4,1024,8,3793251143.1382756,0,2.1596250000000005e-06,379.32511431382756,0
4,1024,9,1526631491.8993204,0,5.366062500000002e-06,152.66314918993206,0
4,2048,0,2564758829.8600917,0,6.388125000000001e-06,256.4758829860092,0
4,2048,1,536314312.13532287,0,3.054924999999998e-05,53.63143121353229,0
4,2048,2,4923539244.595533,0,3.3276875000000003e-06,492.35392445955335,0
4,2048,3,1876102141.3031032,0,8.733000000000001e-06,187.61021413031034,0
4,2048,4,998358564.2197465,0,1.6410937500000005e-05,99.83585642197465,0
4,2048,5,3148914701.6780977,0,5.203062500000001e-06,314.8914701678098,0
4,2048,6,8304631565.608566,0,1.9728749999999997e-06,830.4631565608568,0
4,2048,7,1493102466.2527766,0,1.0973125e-05,149.31024662527767,0
4,2048,8,3710775154.294773,0,4.415250000000001e-06,371.07751542947733,0
4,2048,9,1501999656.219561,0,1.0908125e-05,150.19996562195612,0
4,4096,0,4612369138.734934,0,7.104375e-06,461.23691387349345,0
4,4096,1,1316598612.8061793,0,2.4888375000000005e-05,131.65986128061795,0
4,4096,2,4697668584.126301,0,6.975375000000001e-06,469.76685841263014,0
4,4096,3,1816206628.9768314,0,1.8042000000000004e-05,181.62066289768316,0
4,4096,4,964505815.130008,0,3.3973875e-05,96.4505815130008,0
4,4096,5,3054970923.795872,0,1.0726125e-05,305.49709237958723,0
4,4096,6,7919279801.824663,0,4.13775e-06,791.9279801824664,0
4,4096,7,1438565298.0365038,0,2.277825000000001e-05,143.85652980365037,0
4,4096,8,3556134353.464648,0,9.214500000000001e-06,355.6134353464648,0
4,4096,9,1455046014.1428268,0,2.2520250000000005e-05,145.5046014142827,0
8,128,0,4092930302.273294,0,2.5018750000000003e-07,409.29303022732944,0
8,128,1,209984315.8992565,0,4.8765546875e-06,20.99843158992565,0
8,128,2,221991507.9847638,0,4.612789062500001e-06,22.19915079847638,0
8,128,3,174056114.87767318,0,5.8831601562500015e-06,17.40561148776732,0
8,128,4,316122178.0189064,0,3.2392539062499987e-06,31.61221780189064,0
8,128,5,5557784043.929016,0,1.8424609375000007e-07,555.7784043929016,0
8,128,6,8701586669.322178,0,1.1767968750000002e-07,870.1586669322179,0
8,128,7,1549222859.1690795,0,6.609765625000001e-07,154.92228591690798,0
8,128,8,578389386.4276718,0,1.7704335937499992e-06,57.83893864276719,0
8,128,9,645445950.2048537,0,1.5864999999999995e-06,64.54459502048537,0
8,256,0,4078665670.89868,0,5.021250000000001e-07,407.86656708986806,0
8,256,1,209586765.2302663,0,9.771609375000027e-06,20.958676523026632,0
8,256,2,5103751727.897512,0,4.0127343750000013e-07,510.3751727897513,0
8,256,3,2208997986.0285997,0,9.271171875000001e-07,220.89979860286,0
8,256,4,315489106.56109583,0,6.491507812500005e-06,31.548910656109584,0
8,256,5,5531514422.569685,0,3.702421875000001e-07,553.1514422569685,0
8,256,6,8673946131.956852,0,2.36109375e-07,867.3946131956853,0
8,256,7,1546298590.2200198,0,1.3244531250000003e-06,154.629859022002,0
8,256,8,577166874.7289139,0,3.5483671874999983e-06,57.716687472891394,0
8,256,9,644177085.7906741,0,3.179249999999999e-06,64.41770857906742,0
8,512,0,4050432632.880099,0,1.01125e-06,405.0432632880099,0
8,512,1,256508006.09018663,0,1.5968312499999988e-05,25.650800609018663,0
8,512,2,5040939945.772359,0,8.12546875e-07,504.0939945772359,0
8,512,3,2200690066.2362843,0,1.8612343750000001e-06,220.06900662362847,0
8,512,4,1912231559.290382,0,2.1420000000000013e-06,191.2231559290382,0
8,512,5,5479713204.707456,0,7.474843750000001e-07,547.9713204707456,0
8,512,6,8619188531.597292,0,4.7521874999999996e-07,861.9188531597292,0
8,512,7,1540483046.3653991,0,2.65890625e-06,154.04830463653994,0
8,512,8,574737289.8263805,0,7.126734374999994e-06,57.47372898263805,0
8,512,9,641654264.9017001,0,6.383499999999996e-06,64.16542649017002,0
8,1024,0,3995123140.697389,0,2.050500000000001e-06,399.512314069739,0
8,1024,1,294035040.4917333,0,2.7860625000000007e-05,29.403504049173335,0
8,1024,2,7307353515.08056,0,1.1210625e-06,730.735351508056,0
8,1024,3,2184260300.7957335,0,3.750468750000001e-06,218.42603007957334,0
8,1024,4,1885819521.1786363,0,4.344000000000002e-06,188.58195211786364,0
8,1024,5,5378967887.555144,0,1.5229687500000004e-06,537.8967887555144,0
8,1024,6,8511721540.359763,0,9.624375e-07,851.1721540359764,0
8,1024,7,2528834095.4255166,0,3.239437500000001e-06,252.88340954255168,0
8,1024,8,5044820352.9434395,0,1.6238437500000003e-06,504.48203529434403,0
8,1024,9,2541780596.117671,0,3.222937500000001e-06,254.17805961176714,0
8,2048,0,3888915262.283408,0,4.213e-06,388.8915262283408,0
8,2048,1,998358564.2197465,0,1.6410937500000005e-05,99.83585642197465,0
8,2048,2,6912715574.073096,0,2.3701250000000005e-06,691.2715574073096,0
8,2048,3,3012976265.731854,0,5.437812500000001e-06,301.2976265731854,0
8,2048,4,1835125448.028674,0,8.928e-06,183.51254480286738,0
8,2048,5,5188196409.840283,0,3.1579375e-06,518.8196409840284,0
8,2048,6,8304631565.608566,0,1.9728749999999997e-06,830.4631565608568,0
8,2048,7,2473850102.863182,0,6.6228750000000005e-06,247.38501028631825,0
8,2048,8,4923539244.595533,0,3.3276875000000003e-06,492.35392445955335,0
8,2048,9,2498370280.0068617,0,6.557875000000001e-06,249.8370280006862,0
8,4096,0,6089291521.486643,0,5.381250000000001e-06,608.9291521486643,0
8,4096,1,2306184569.3674664,0,1.4208750000000005e-05,230.61845693674667,0
8,4096,2,6238850016.659527,0,5.25225e-06,623.8850016659527,0
8,4096,3,2926857589.4601684,0,1.1195625000000002e-05,292.68575894601685,0
8,4096,4,1741496598.639455,0,1.8816000000000008e-05,174.14965986394554,0
8,4096,5,4844560255.770545,0,6.7638750000000005e-06,484.45602557705456,0
8,4096,6,7919279801.824663,0,4.13775e-06,791.9279801824664,0
8,4096,7,2370756235.6430984,0,1.3821750000000002e-05,237.07562356430986,0
8,4096,8,4697668584.126301,0,6.975375000000001e-06,469.76685841263014,0
8,4096,9,2415851073.633766,0,1.3563750000000002e-05,241.58510736337664,0
16,128,0,5562501326.203661,0,1.8408984375000004e-07,556.2501326203661,0
16,128,1,410085695.2453066,0,2.497039062499997e-06,41.008569524530664,0
16,128,2,432895171.4115864,0,2.3654687499999974e-06,43.28951714115865,0
16,128,3,344072924.39147645,0,2.9761132812499996e-06,34.407292439147646,0
16,128,4,619045257.5773678,0,1.6541601562499995e-06,61.90452575773679,0
16,128,5,7637783345.958857,0,1.3407031250000006e-07,763.7783345958858,0
16,128,6,8701586669.322178,0,1.1767968750000002e-07,870.1586669322179,0
16,128,7,2582038098.615133,0,3.9658593750000007e-07,258.2038098615133,0
16,128,8,1122297476.6459162,0,9.124140625000006e-07,112.22974766459164,0
16,128,9,1191493229.9455028,0,8.594257812500003e-07,119.14932299455029,0
16,256,0,5539931105.898264,0,3.6967968750000004e-07,553.9931105898264,0
16,256,1,409307089.61399525,0,5.003578124999997e-06,40.93070896139953,0
16,256,2,7492825701.709255,0,2.73328125e-07,749.2825701709255,0
16,256,3,3833187108.8495045,0,5.342812500000002e-07,383.31871088495046,0
16,256,4,617365767.2679147,0,3.317320312499999e-06,61.73657672679147,0
16,256,5,7539373022.7207365,0,2.71640625e-07,753.9373022720737,0
16,256,6,8673946131.956852,0,2.36109375e-07,867.3946131956853,0
16,256,7,2577164317.033366,0,7.946718750000001e-07,257.71643170333664,0
16,256,8,1118466750.2922626,0,1.8310781250000007e-06,111.84667502922626,0
16,256,9,1189071990.057198,0,1.7223515625000004e-06,118.9071990057198,0
16,512,0,5495335723.120139,0,7.45359375e-07,549.533572312014,0
16,512,1,496034847.17462814,0,8.257484374999991e-06,49.60348471746281,0
16,512,2,7266840383.655818,0,5.6365625e-07,726.6840383655818,0
16,512,3,3790618312.2216434,0,1.0805625000000002e-06,379.06183122216436,0
16,512,4,3046875181.6079125,0,1.344328125e-06,304.6875181607913,0
16,512,5,7349969158.302023,0,5.572812500000001e-07,734.9969158302024,0
16,512,6,8619188531.597292,0,4.7521874999999996e-07,861.9188531597292,0
16,512,7,2567471743.942332,0,1.59534375e-06,256.74717439423324,0
16,512,8,1110883217.9270942,0,3.687156250000002e-06,111.08832179270944,0
16,512,9,1184258912.0741606,0,3.4587031250000007e-06,118.42589120741606,0
16,1024,0,5408264735.6151085,0,1.5147187500000005e-06,540.8264735615109,0
16,1024,1,566289707.6137093,0,1.4466093749999986e-05,56.62897076137094,0
16,1024,2,7307353515.08056,0,1.1210625e-06,730.735351508056,0
16,1024,3,3708255531.036042,0,2.209125000000001e-06,370.82555310360425,0
16,1024,4,2993434049.3074336,0,2.736656250000001e-06,299.34340493074336,0
16,1024,5,6998344812.857065,0,1.1705625000000002e-06,699.8344812857066,0
16,1024,6,8511721540.359763,0,9.624375e-07,851.1721540359764,0
16,1024,7,3778815660.497029,0,2.167875000000001e-06,377.88156604970294,0
16,1024,8,7098402382.886542,0,1.1540625e-06,709.8402382886543,0
16,1024,9,3807797338.91116,0,2.1513750000000006e-06,380.77973389111605,0
16,2048,0,5242146099.546063,0,3.1254375000000003e-06,524.2146099546063,0
16,2048,1,1808787811.8790019,0,9.058e-06,180.87878118790022,0
16,2048,2,6912715574.073096,0,2.3701250000000005e-06,691.2715574073096,0
16,2048,3,4650994446.711494,0,3.5226875000000006e-06,465.09944467114946,0
16,2048,4,2891985217.055546,0,5.665312500000001e-06,289.19852170555464,0
16,2048,5,6387213098.776862,0,2.5651250000000003e-06,638.7213098776863,0
16,2048,6,8304631565.608566,0,1.9728749999999997e-06,830.4631565608568,0
16,2048,7,3683660277.6684837,0,4.447750000000001e-06,368.3660277668484,0
16,2048,8,6553272336.38318,0,2.5001250000000005e-06,655.327233638318,0
16,2048,9,3738292168.1592603,0,4.3827500000000005e-06,373.82921681592603,0
16,4096,0,6671349315.417111,0,4.911750000000001e-06,667.1349315417112,0
16,4096,1,3367555624.0686493,0,9.730500000000003e-06,336.75556240686495,0
16,4096,2,6238850016.659527,0,5.25225e-06,623.8850016659527,0
16,4096,3,4300050850.515885,0,7.6203750000000016e-06,430.0050850515886,0
16,4096,4,2708406947.0704308,0,1.2098625000000003e-05,270.8406947070431,0
16,4096,5,5437544077.992117,0,6.026250000000001e-06,543.7544077992118,0
16,4096,6,7919279801.824663,0,4.13775e-06,791.9279801824664,0
16,4096,7,3507036977.577995,0,9.343500000000001e-06,350.70369775779955,0
16,4096,8,5680752394.573743,0,5.768250000000001e-06,568.0752394573743,0
16,4096,9,3606625942.435749,0,9.0855e-06,360.6625942435749,0
32,128,0,8498476301.627433,0,1.204921875000001e-07,849.8476301627434,0
32,128,1,774611429.5845397,0,1.3219531250000003e-06,77.46114295845398,0
32,128,2,824603731.3268508,0,1.241808593750001e-06,82.46037313268508,0
32,128,3,671711128.1366667,0,1.5244648437500003e-06,67.17111281366668,0
32,128,4,1185887547.330277,0,8.634882812500008e-07,118.58875473302771,0
32,128,5,7637783345.958857,0,1.3407031250000006e-07,763.7783345958858,0
32,128,6,7736969482.320994,0,1.3235156250000005e-07,773.6969482320995,0
32,128,7,3873057147.922699,0,2.6439062500000004e-07,387.30571479226995,0
32,128,8,1985157362.2512333,0,5.158281250000003e-07,198.51573622512333,0
32,128,9,2200542278.4087553,0,4.653398437500004e-07,220.05422784087554,0
32,256,0,8317279015.165936,0,2.46234375e-07,831.7279015165938,0
32,256,1,773149295.11001,0,2.6489062499999998e-06,77.31492951100101,0
32,256,2,7492825701.709255,0,2.73328125e-07,749.2825701709255,0
32,256,3,5096607368.523376,0,4.018359375000002e-07,509.6607368523377,0
32,256,4,1179060238.471121,0,1.7369765625000014e-06,117.90602384711212,0
32,256,5,7539373022.7207365,0,2.71640625e-07,753.9373022720737,0
32,256,6,7715109776.914474,0,2.6545312500000004e-07,771.5109776914474,0
32,256,7,3865746475.5500493,0,5.297812500000001e-07,386.57464755500496,0
32,256,8,1976059098.447157,0,1.0364062500000006e-06,197.6059098447157,0
32,256,9,2186446473.9980793,0,9.36679687500001e-07,218.64464739980795,0
32,512,0,7977116426.267421,0,5.134687500000001e-07,797.7116426267421,0
32,512,1,951866376.1801009,0,4.303125000000004e-06,95.1866376180101,0
32,512,2,7266840383.655818,0,5.6365625e-07,726.6840383655818,0
32,512,3,5027791096.875659,0,8.146718750000001e-07,502.77910968756595,0
32,512,4,4838479853.8179,0,8.465468750000001e-07,483.84798538178995,0
32,512,5,7349969158.302023,0,5.572812500000001e-07,734.9969158302024,0
32,512,6,7671758852.794849,0,5.3390625e-07,767.175885279485,0
32,512,7,3851207615.913498,0,1.0635625000000002e-06,385.12076159134983,0
32,512,8,1958110490.3044593,0,2.0918125000000018e-06,195.81104903044596,0
32,512,9,2158789765.3811603,0,1.8973593750000023e-06,215.87897653811606,0
32,1024,0,7373952180.028125,0,1.1109375000000007e-06,737.3952180028125,0
