W,L,run_id,goodput,retransmissions,avg_rtt,utilization,buffer_events
2,2048,2,482501.33386689983,2859,0.03395638281182369,0.048250133386689986,0
2,2048,3,473215.1329057277,3251,0.03462273046805535,0.04732151329057278,0
2,2048,4,489990.27334466047,2480,0.033437398436836824,0.04899902733446605,0
2,2048,5,470221.67653204803,3368,0.034843140624299454,0.047022167653204806,0
2,2048,6,474312.96326230123,3246,0.034542593749307744,0.047431296326230124,0
2,2048,7,476180.71259172406,3142,0.03440710546806123,0.04761807125917241,0
2,2048,8,479322.2413151803,3029,0.03418159765556682,0.047932224131518035,0
2,2048,9,487438.0490786236,2600,0.03361247656183128,0.04874380490786236,0
2,4096,0,921261.7287202218,1441,0.035568610937002594,0.09212617287202218,0
2,4096,1,896280.6238130132,1732,0.03655997812448106,0.08962806238130133,0
2,4096,2,890836.2489913888,1851,0.03678341562447662,0.08908362489913889,0
2,4096,3,858406.3345511645,2198,0.038173064061943845,0.08584063345511646,0
2,4096,4,909156.3705542546,1589,0.03604220468699289,0.09091563705542546,0
2,4096,5,846844.4771310712,2412,0.038694235936934974,0.08468444771310712,0
2,4096,6,858611.9310856805,2236,0.03816392343694336,0.08586119310856806,0
2,4096,7,874964.0569080855,2018,0.03745068124946104,0.08749640569080856,0
2,4096,8,879343.6353867854,2016,0.03726415781196479,0.08793436353867855,0
2,4096,9,881650.4342623145,1926,0.03716665781196751,0.08816504342623145,0
4,128,0,233016.88472826098,9553,0.004394531328466457,0.0233016884728261,0
4,128,1,233016.8603909502,9045,0.0043945317874507315,0.02330168603909502,0
4,128,2,233016.87851444722,9736,0.004394531445654531,0.023301687851444725,0
4,128,3,233016.8883529381,9348,0.004394531260107647,0.023301688835293814,0
4,128,4,233016.84071394798,9017,0.00439453215854499,0.0233016840713948,0
4,128,5,233016.85883748956,9676,0.004394531816747892,0.02330168588374896,0
4,128,6,233016.87385413155,10563,0.0043945315335447484,0.023301687385413158,0
4,128,7,233016.8303576495,8976,0.004394532353857434,0.023301683035764954,0
4,128,8,233016.84951682307,9902,0.004394531992529023,0.02330168495168231,0
4,128,9,233016.83346452552,9287,0.004394532295263954,0.023301683346452554,0
4,256,0,233016.85479955006,9686,0.008789063785801106,0.02330168547995501,0
4,256,1,233016.86008126973,9219,0.00878906358658217,0.023301686008126973,0
4,256,2,233016.87499435103,9815,0.00878906302408205,0.023301687499435106,0
4,256,3,233016.8582171486,9521,0.008789063656894159,0.023301685821714862,0
4,256,4,233016.84703233547,8968,0.008789064078769384,0.023301684703233547,0
4,256,5,233016.84475394242,9866,0.008789064164707129,0.023301684475394244,0
4,256,6,233016.82714822606,10491,0.008789064828769776,0.023301682714822608,0
4,256,7,233016.82580192108,9102,0.008789064879550494,0.02330168258019211,0
4,256,8,233016.88441858417,9959,0.008789062668613479,0.02330168844185842,0
4,256,9,233016.8441325708,9434,0.008789064188144385,0.023301684413257084,0
4,512,0,254305.20418323352,8923,0.01610663066513073,0.025430520418323353,0
4,512,1,255247.22320239604,8635,0.01604718730574441,0.025524722320239605,0
4,512,2,252530.7873900373,9435,0.016219804493278166,0.02525307873900373,0
4,512,3,253515.21663572514,9210,0.016156821094828102,0.025351521663572515,0
4,512,4,256437.23297835674,8336,0.01597271953229078,0.025643723297835676,0
4,512,5,253006.7436622576,9360,0.01618929179796018,0.025300674366225764,0
4,512,6,251216.17788925683,10055,0.016304682422983253,0.025121617788925684,0
4,512,7,255838.30842341227,8524,0.016010112110423753,0.02558383084234123,0
4,512,8,253791.4105930504,9299,0.016139238087012554,0.02537914105930504,0
4,512,9,254542.41220204,8938,0.016091620899502,0.025454241220204,0
4,1024,0,497961.84056510066,4004,0.01645105976534968,0.04979618405651007,0
4,1024,1,498728.619579286,4000,0.016425766796600825,0.0498728619579286,0
4,1024,2,479880.3191628119,5490,0.017070923046587062,0.04798803191628119,0
4,1024,3,479827.6168701622,5460,0.017072798046588247,0.04798276168701623,0
4,1024,4,497958.884597647,4174,0.01645115742159952,0.04979588845976471,0
4,1024,5,484985.8051995449,5099,0.01689121601534182,0.04849858051995449,0
4,1024,6,481172.11548708146,5475,0.01702509296846388,0.04811721154870815,0
4,1024,7,488712.9018253931,4863,0.016762397655969458,0.048871290182539315,0
4,1024,8,487854.27442429395,4718,0.016791899609093715,0.0487854274424294,0
4,1024,9,488049.8360358245,4952,0.016785171093467346,0.04880498360358245,0
4,2048,0,921917.4493223903,2395,0.01777165624974584,0.09219174493223903,0
4,2048,1,911814.3355477655,2689,0.017968570312241732,0.09118143355477656,0
4,2048,2,903785.3017022611,2859,0.018128199218488142,0.09037853017022611,0
4,2048,3,879388.4730594343,3251,0.018631128905976315,0.08793884730594344,0
4,2048,4,922750.0358182751,2480,0.017755621093496918,0.09227500358182751,0
4,2048,5,883733.4251545821,3368,0.018539527343479308,0.08837334251545823,0
4,2048,6,890152.4525087425,3246,0.018405835937231312,0.08901524525087424,0
4,2048,7,890035.3399610174,3142,0.018408257812232043,0.08900353399610174,0
4,2048,8,887675.120075341,3029,0.01845720312473038,0.0887675120075341,0
4,2048,9,908879.2190663386,2600,0.01802659765599079,0.09088792190663388,0
4,4096,0,1659876.467299567,1441,0.0197412281248314,0.16598764672995672,0
4,4096,1,1597348.0308294499,1732,0.02051400156231743,0.159734803082945,0
4,4096,2,1594239.4428964073,1851,0.020554001562316914,0.15942394428964074,0
4,4096,3,1515424.377328112,2198,0.021622985937295135,0.1515424377328112,0
4,4096,4,1640198.965113383,1589,0.01997806406232845,0.16401989651133833,0
4,4096,5,1520787.1900113493,2412,0.02154673593729801,0.15207871900113495,0
4,4096,6,1543165.4718754306,2236,0.021234274999800632,0.15431654718754306,0
4,4096,7,1546402.8057243838,2018,0.02118982187480605,0.1546402805724384,0
4,4096,8,1587466.3889663848,2016,0.020641696874814194,0.15874663889663848,0
4,4096,9,1565972.429397658,1926,0.02092501718731026,0.15659724293976582,0
8,128,0,233016.8313929269,18114,0.004394532334332836,0.023301683139292692,0
8,128,1,233016.83087513587,18208,0.004394532344098008,0.02330168308751359,0
8,128,2,233016.87851412865,18557,0.004394531445660539,0.02330168785141287,0
8,128,3,233016.83605329823,18236,0.004394532246441537,0.023301683605329825,0
8,128,4,233016.87851412248,18029,0.004394531445660655,0.02330168785141225,0
8,128,5,233016.8578015177,18508,0.004394531836285583,0.023301685780151772,0
8,128,6,233016.87074690184,19452,0.004394531592144879,0.023301687074690186,0
8,128,7,233016.886281377,17996,0.004394531299175803,0.023301688628137703,0
8,128,8,233016.87437159347,18515,0.0043945315237857874,0.02330168743715935,0
8,128,9,233016.8857635597,17717,0.004394531308941465,0.023301688576355974,0
8,256,0,251363.72916869028,16839,0.008147555762214152,0.02513637291686903,0
8,256,1,250891.22736709163,16940,0.008162900000498893,0.025089122736709164,0
8,256,2,250111.53723248112,17537,0.008188346777847213,0.025011153723248115,0
8,256,3,251202.94670152225,17055,0.008152770605965148,0.025120294670152227,0
8,256,4,253393.38871643005,16406,0.008082294531732617,0.025339338871643007,0
8,256,5,250876.82090496153,17568,0.008163368750498614,0.025087682090496152,0
8,256,6,247340.96478438468,18638,0.00828006796927193,0.02473409647843847,0
8,256,7,252216.3058896036,16546,0.008120014258302635,0.02522163058896036,0
8,256,8,251304.8420479458,17395,0.008149464941902183,0.025130484204794582,0
8,256,9,251497.0424523543,16441,0.008143236914557315,0.025149704245235435,0
8,512,0,486620.8232146146,8923,0.00841723124987099,0.048662082321461464,0
8,512,1,491271.49722915236,8635,0.008337548632684934,0.04912714972291524,0
8,512,2,484536.3473495989,9435,0.00845344218737152,0.048453634734959894,0
8,512,3,482301.82920165185,9210,0.008492607226433408,0.04823018292016519,0
8,512,4,494954.8240795297,8336,0.008275502734249242,0.04949548240795297,0
8,512,5,485237.04460829654,9360,0.008441235156121399,0.04852370446082966,0
8,512,6,481897.8662506851,10055,0.00849972636705813,0.048189786625068516,0
8,512,7,490759.62165055284,8524,0.00834624492174821,0.04907596216505529,0
8,512,8,487874.57828940445,9299,0.008395600390496829,0.04878745782894045,0
8,512,9,485869.12571183086,8938,0.008430253710809646,0.04858691257118309,0
8,1024,0,920551.9417402272,4004,0.008899008984233635,0.09205519417402272,0
8,1024,1,931307.484488601,4000,0.008796235546736088,0.0931307484488601,0
8,1024,2,891463.8343921475,5490,0.00918938007797679,0.08914638343921476,0
8,1024,3,881367.8308146935,5460,0.009294643749849271,0.08813678308146936,0
8,1024,4,931792.6560302337,4174,0.008791655468611244,0.09317926560302338,0
