W,L,seed,goodput,goodput_mbps,total_time,retransmissions,buffer_events,delayed_acks
8,4096,1,4574728.249745254,4.574728249745254,183.36844380793818,16660,3086,925
16,128,1,5931653.035341432,5.931653035341433,141.42108363418703,934,3,0
16,256,1,6939206.613358768,6.939206613358768,120.88713403994872,2035,12,3
16,512,1,7279561.388184977,7.279561388184977,115.23507465181969,3045,55,16
16,1024,1,7049039.599994945,7.049039599994945,119.00355900974107,5842,183,54
16,2048,1,6268910.945974838,6.268910945974838,133.81284360700934,9354,739,221
16,4096,1,5456302.889117338,5.456302889117338,153.74161168235693,15718,2874,862
32,128,1,6661050.897665361,6.661050897665361,125.93520345175763,952,3,0
32,256,1,7202057.083929909,7.202057083929909,116.47516677863696,2088,12,3
32,512,1,8631729.104074953,8.631729104074953,97.18340206065807,2950,51,15
32,1024,1,8372326.86534181,8.37232686534181,100.19446367682548,5938,161,48
32,2048,1,7286351.433422381,7.286351433422381,115.12768875683905,8892,660,198
32,4096,1,6343863.371334128,6.343863371334128,132.23185161750823,13812,3342,1002
64,128,1,7259127.033924213,7.259127033924213,115.55945998461472,955,3,0
64,256,1,8191891.05584278,8.19189105584278,102.40136182007589,1804,12,3
64,512,1,9451168.540948564,9.451168540948563,88.75736332131983,2882,48,14
64,1024,1,8801735.16896418,8.801735168964179,95.30629857597957,4963,199,59
64,2048,1,7540316.47792424,7.5403164779242395,111.25007848887113,8728,880,264
64,4096,1,6946539.378839083,6.946539378839083,120.75952560715085,15524,3554,1066
2,128,2,2170316.851219787,2.170316851219787,386.5153604316041,1124,3,0
2,256,2,2760940.2341517597,2.7609402341517595,303.8315678201278,2443,13,3
2,512,2,3166009.4563482404,3.1660094563482404,264.9584000192989,3941,50,15
2,1024,2,3063044.397998122,3.063044397998122,273.8650476461407,7515,196,58
2,2048,2,2581189.3954760185,2.5811893954760183,324.99002261137787,11257,709,212
2,4096,2,2300643.855194942,2.300643855194942,364.62001630796533,21418,3688,1106
4,128,2,3246851.3799690865,3.2468513799690863,258.36131742130647,1049,3,0
